id	category	status	priority	difference	proposed_action	recommendation	user_decision	validation	evidence
F01	correctness	open	P1	Historical V2 upgrades fail	Repair migration identity reconciliation and skipped main work	yes		Three historical full manifests plus partial checkpoints; never touch live userdata	persistence.md
F02	correctness	fixed	closed	Sidebar empty-provider initialization	No new fix; revalidate after future rebases	no action		Module-scope declaration precedes all uses	clients.md
F03	correctness	open	P1	Full diff fails after ordinary run 2	Resolve baseline through actual shared checkpoint scope	yes		Build two runs through real allocator/projector and request full diff	persistence.md
F04	correctness	open	P1	WebSocket forced project deletion partially commits	Coordinate V1/V2 deletion and preserve force	yes		Imported plus V2-only, active plus archived, force false/true and downstream rejection	persistence.md
F05	correctness	open-broadened	P1	HTTP and CLI project lifecycle drops fields and cleanup	Use consistent typed lifecycle semantics across transports	yes		HTTP/live/offline CLI; populated deletion and every create/update field	persistence.md
F06	correctness	open	P1	OpenCode Stop hides descendant failures	Propagate explicit Stop failures with bounded traversal	yes		Nested descendant enumeration and abort failures; benign not-found; timeout	providers.md
F07	correctness	open	P1	External OpenCode work survives release	Bound root/descendant shutdown and log cleanup failures	yes		External server root and child activity stops during session release	providers.md
F08	correctness	open	P1	Cursor metadata helper can write project files	Restore constrained metadata generation	yes		Metadata generation cannot invoke write/command tools at project cwd	providers.md
F09	correctness	open	P1	Queued edit loses newly added generic files	Carry files through save and external-start recovery	yes		File-only and mixed edits; another device starts/cancels queued run	clients.md
F10	correctness	open	P1	Mobile persisted non-image attachments disappear	Remove image-only filtering before attachment renderer	yes		Reload file/PDF/video messages and open scoped attachments	clients.md
F11	correctness	open	P2	Claude Read image previews absent	Derive validated preview path on both clients	yes		Image Read versus non-image Read; web and mobile scoped assets	providers.md
F12	correctness	open	P2	Initial automatic title has no transient retry	Restore bounded retry with stale marker protection	yes		Transient typed failure then success; exhausted retries; stale request	cross-cutting.md
F13	correctness	open	P2	Old failure defeats a newer snooze	Require failed-run evidence newer than snoozedAt	yes		Failure before snooze versus after; closed-PR rule preserved	persistence.md
F14	performance	fixed	closed	Checkpoint query hydrated full history	No new fix; retain narrow checkpoint context	no action		Three metadata queries; no transcript/fork hydration	persistence.md
F15	performance	fixed	closed	Runtime recovery loaded all terminal histories	No new fix; retain recovery candidate selection	no action		Terminal histories excluded; actual incomplete work still selected	persistence.md
F16	performance	open	P1	WebSocket fallback sends lifetime history	Window and budget socket snapshots and keep history cursor	yes		HTTP failure and large/invalid reconnect; frame/row bounds; later history paging	cross-cutting.md
