main_commit	main_feature_or_fix	comparison	files_at_commit	same_as_current_main	different_from_current_main	files_needing_behavior_review	files_identical_to_current_main
57a66608b918d673eeec7e6c94ea5906b756fcd0	fix(pull-requests): align checkout control with author (#9196)	identical-final-files	1	1	0		apps/web/src/components/pullRequest/PullRequestDetailPanel.tsx
6e3bac3722d19b2e2cb736c2e789568eaf151032	fix(web): prevent connection rows from wrapping during removal (#8706)	identical-final-files	1	1	0		apps/web/src/components/settings/ConnectionsSettings.tsx
6effe0a2fab1bcd48315485b580419377451c757	feat(web): redesign provider editor and models list (#8508)	review-v2-path	7	6	1	apps/web/src/components/settings/ProviderInstanceCard.tsx	apps/web/src/components/settings/ProviderAccentColorPicker.tsx; apps/web/src/components/settings/ProviderModelsSection.test.ts; apps/web/src/components/settings/ProviderModelsSection.tsx; apps/web/src/components/settings/ProviderSettingsForm.tsx; apps/web/src/components/settings/ProviderSettingsPanel.environment.test.tsx; apps/web/src/components/settings/ProviderSettingsPanel.tsx
bc918e74ace5dbb4fe1ce73b59d06a9ca1be9ed3	fix(server): discover project skills for Claude (#9210)	review-v2-path	1	0	1	apps/server/src/provider/Drivers/ClaudeDriver.ts	
70cd258d8aac43ea57494527b00bf36de3efa6c0	fix(web): prevent two-digit list markers from being clipped (#9101)	review-v2-path	3	2	1	apps/web/src/index.css	apps/web/src/components/ChatMarkdown.test.tsx; apps/web/src/components/ChatMarkdown.tsx
f14f41b894448298a86865c9114e6700245356e7	fix(web): preserve composer draft during worktree setup (#9197)	review-v2-path	2	1	1	apps/web/src/composerDraftStore.ts	apps/web/src/composerDraftStore.test.ts
7e9d5a7efa70f92f91d960a4f50243ba44d805da	fix(mobile): prevent message and composer overlap (#9195)	review-v2-path	4	2	2	apps/mobile/src/features/threads/ThreadComposer.tsx; apps/mobile/src/features/threads/ThreadFeed.tsx	apps/mobile/src/lib/wideMarkdownBlocks.test.ts; apps/mobile/src/lib/wideMarkdownBlocks.ts
5b7d72aad14ed37e8e5e4c02a6d49814bfe528ac	feat(updates): continue active threads across server restarts (#9167)	review-v2-path	26	6	20	apps/desktop/src/settings/DesktopClientSettings.test.ts; apps/server/src/environment/ServerEnvironment.test.ts; apps/server/src/environment/ServerEnvironment.ts; apps/server/src/provider/Layers/CodexAdapter.ts; apps/server/src/provider/Layers/ProviderService.test.ts; apps/server/src/provider/Layers/ProviderService.ts; apps/server/src/provider/Services/ProviderAdapter.ts; apps/server/src/server.test.ts; apps/server/src/serverRuntimeStartup.reconcile.test.ts; apps/server/src/serverRuntimeStartup.ts; apps/server/src/ws.ts; apps/web/src/components/ChatView.tsx; apps/web/src/components/settings/SettingsPanels.tsx; apps/web/src/components/settings/settingsSearch.ts; apps/web/src/versionSkew.ts; docs/user/updating.md; packages/contracts/src/environment.ts; packages/contracts/src/provider.ts; packages/contracts/src/server.ts; packages/contracts/src/settings.ts	apps/server/src/cloud/selfUpdate.test.ts; apps/server/src/cloud/selfUpdate.ts; apps/server/src/desktopUpdate/DesktopAppUpdate.ts; apps/web/src/components/ServerUpdateAction.test.tsx; apps/web/src/components/ServerUpdateAction.tsx; apps/web/src/components/settings/ConnectionsSettings.tsx
14f15cfed48bc7519e8e5eeac03f483f4b11ef3a	fix(server): stop titling linked PR threads from local git history (#9191)	identical-final-files	2	2	0		apps/server/src/textGeneration/TextGenerationPrompts.test.ts; apps/server/src/textGeneration/TextGenerationPrompts.ts
dd6879ffea24da9fc16cb62d7d6072d2c5b2bae3	fix(pull-requests): reuse github api reads (#9176)	review-v2-path	25	17	8	apps/server/src/auth/RpcAuthorization.ts; apps/server/src/orchestration/ThreadSettlementReactor.test.ts; apps/server/src/orchestration/ThreadSettlementReactor.ts; apps/server/src/server.test.ts; apps/server/src/server.ts; apps/server/src/ws.ts; apps/web/src/routes/_chat.pull-requests.tsx; packages/contracts/src/rpc.ts	apps/mobile/src/state/use-thread-pr.ts; apps/server/src/pullRequest/GitHubPullRequestCli.test.ts; apps/server/src/pullRequest/GitHubPullRequestCli.ts; apps/server/src/pullRequest/GitHubPullRequestProvider.test.ts; apps/server/src/pullRequest/GitHubPullRequestProvider.ts; apps/server/src/pullRequest/PullRequestProvider.ts; apps/server/src/pullRequest/PullRequestService.test.ts; apps/server/src/pullRequest/PullRequestService.ts; apps/server/src/sourceControl/GitHubCli.test.ts; apps/server/src/sourceControl/GitHubCli.ts; apps/server/src/sourceControl/GitHubSourceControlProvider.ts; apps/server/src/vcs/VcsProcess.test.ts; apps/server/src/vcs/VcsProcess.ts; apps/web/src/components/pullRequest/PullRequestDetailPanel.tsx; apps/web/src/state/pullRequests.ts; packages/client-runtime/src/state/pullRequests.ts; packages/contracts/src/pullRequest.ts
9e646ad84c9d5008187eabf479e85619df9de8ca	fix(connect): refresh relay credentials before expiry (#9178)	review-v2-path	8	7	1	packages/client-runtime/src/connection/resolver.test.ts	packages/client-runtime/src/authorization/service.ts; packages/client-runtime/src/connection/model.ts; packages/client-runtime/src/connection/supervisor.test.ts; packages/client-runtime/src/connection/supervisor.ts; packages/client-runtime/src/state/pullRequestDiffHttp.test.ts; packages/client-runtime/src/state/pullRequestDiffHttp.ts; packages/client-runtime/src/state/pullRequests.ts
a19f01fc19d209d9962c4bb66372ed9e03e320a9	feat(web): make context window indicator opt-in (#9190)	review-v2-path	6	0	6	apps/desktop/src/settings/DesktopClientSettings.test.ts; apps/web/src/components/chat/ChatComposer.tsx; apps/web/src/components/settings/SettingsPanels.tsx; apps/web/src/components/settings/settingsSearch.ts; packages/contracts/src/settings.test.ts; packages/contracts/src/settings.ts	
6ff537f03c4df500da7283c0566fe6f8feca709b	fix(web): remove projects with archived threads (#8798)	review-v2-path	2	1	1	apps/web/src/components/LegacySidebar.tsx	apps/web/src/components/settings/ProjectSettingsPanel.tsx
a81a52afbb4e03ba82b2743801772151ed8c7d70	fix(server): allow local-only worktree bases (#8751)	review-v2-path	6	0	6	apps/server/src/git/GitWorkflowService.ts; apps/server/src/server.test.ts; apps/server/src/vcs/GitVcsDriver.ts; apps/server/src/vcs/GitVcsDriverCore.test.ts; apps/server/src/vcs/GitVcsDriverCore.ts; apps/server/src/ws.ts	
a56b0cd7178dfef299aa49b26773a80a34abe205	fix(server): allow large Azure DevOps PR lists (#8572)	identical-final-files	4	4	0		apps/server/src/pullRequest/AzureDevOpsPullRequestCli.test.ts; apps/server/src/pullRequest/AzureDevOpsPullRequestCli.ts; apps/server/src/sourceControl/AzureDevOpsCli.test.ts; apps/server/src/sourceControl/AzureDevOpsCli.ts
4116db9807cb37b49d3db35c7a45301f5e851b01	fix(server): bound OpenCode version probes (#8750)	identical-final-files	3	3	0		apps/server/src/provider/Layers/OpenCodeProvider.test.ts; apps/server/src/provider/Layers/OpenCodeProvider.ts; apps/server/src/provider/opencodeRuntime.ts
d2042d288eaf7aaf7feda85eb7d1a6f546302c12	fix(web): avoid stale file writes on close (#8630)	identical-final-files	2	2	0		apps/web/src/components/files/fileSaveCoordinator.test.ts; apps/web/src/components/files/fileSaveCoordinator.ts
7a8df3338f910cd18543cd3ea98b8b10385e8dcd	fix(desktop): skip cached monitor compiler check (#9184)	identical-final-files	3	3	0		docs/internals/scripts.md; scripts/build-desktop-artifact.test.ts; scripts/build-desktop-artifact.ts
827345a07a3d2348abc63e5215e57184024078d8	fix(web): model info button opens its details on click (#9177)	identical-final-files	1	1	0		apps/web/src/components/settings/ProviderModelsSection.tsx
5392c9bb99c4be1f1c3fd78743df62885fd214dd	fix(models): restore sticky new-thread selections (#9164)	review-v2-path	17	6	11	apps/mobile/src/lib/modelOptions.ts; apps/server/src/cli/project.ts; apps/server/src/orchestration/decider.ts; apps/server/src/persistence/Migrations.ts; apps/server/src/serverRuntimeStartup.test.ts; apps/server/src/serverRuntimeStartup.ts; apps/web/src/components/CommandPalette.tsx; docs/user/composer.md; packages/contracts/src/orchestration.ts; packages/shared/src/model.test.ts; packages/shared/src/model.ts	apps/mobile/src/lib/modelOptions.test.ts; apps/server/src/orchestration/decider.projectThreadEnvMode.test.ts; apps/server/src/persistence/Migrations/016_CanonicalizeModelSelections.test.ts; apps/server/src/persistence/Migrations/044_ClearAutomaticProjectModelDefaults.ts; apps/web/src/components/chat/composerProviderState.test.tsx; apps/web/src/components/chat/composerProviderState.tsx
535c83dea5025e49df12df4a14b4d1dfb7d373ce	fix(web): copying a code block no longer copies triple backticks (#8448)	identical-final-files	2	2	0		apps/web/src/markdown-clipboard.test.ts; apps/web/src/markdown-clipboard.ts
f9d1c65d475807f70d29deff71b16a922a61c4c0	chore: bump vendored GhosttyKit and update terminal integration (#9155)	identical-final-files	31	31	0		apps/mobile/modules/t3-terminal/README.md; apps/mobile/modules/t3-terminal/THIRD_PARTY_NOTICES.md; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/allocator.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/color.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/key.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/key/encoder.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/key/event.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/osc.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/paste.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/result.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/sgr.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/Headers/ghostty/vt/wasm.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64-simulator/libghostty-fat.a; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/allocator.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/color.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/key.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/key/encoder.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/key/event.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/osc.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/paste.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/result.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/sgr.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/Headers/ghostty/vt/wasm.h; apps/mobile/modules/t3-terminal/Vendor/libghostty/GhosttyKit.xcframework/ios-arm64/libghostty-fat.a; apps/mobile/modules/t3-terminal/Vendor/libghostty/VERSION; apps/mobile/modules/t3-terminal/ios/T3TerminalView.swift; apps/mobile/modules/t3-terminal/scripts/build-libghostty-ios16.sh
0681d854994ec0ceed0562ae74549ccf8ef2ec41	fix(pull-requests): expand code tab diffs by default (#9174)	identical-final-files	2	2	0		apps/web/src/components/pullRequest/pullRequestDiff.logic.test.ts; apps/web/src/components/pullRequest/pullRequestDiff.logic.ts
80a14b6588f0e856983e6d10002cde9e00e9d3e2	fix(server): discover project skills for Codex and OpenCode (#8778)	review-v2-path	24	10	14	apps/server/src/orchestration/Layers/ProviderCommandReactor.ts; apps/server/src/provider/Drivers/CodexDriver.ts; apps/server/src/provider/Drivers/OpenCodeDriver.ts; apps/server/src/provider/Layers/OpenCodeAdapter.test.ts; apps/server/src/provider/Layers/ProviderRegistry.test.ts; apps/server/src/provider/Layers/ProviderRegistry.ts; apps/server/src/provider/ProviderDriver.ts; apps/server/src/provider/providerMaintenanceRunner.test.ts; apps/server/src/ws.ts; apps/web/src/components/ChatView.tsx; apps/web/src/components/chat/ChatComposer.tsx; packages/client-runtime/src/state/server.ts; packages/contracts/src/rpc.ts; packages/contracts/src/server.ts	apps/server/src/provider/Layers/CodexProvider.ts; apps/server/src/provider/Layers/OpenCodeProvider.test.ts; apps/server/src/provider/Layers/OpenCodeProvider.ts; apps/server/src/provider/OpenCodeServerOwner.test.ts; apps/server/src/provider/Services/ProviderRegistry.ts; apps/server/src/provider/opencodeRuntime.ts; apps/server/src/provider/testUtils/providerRegistryMock.ts; apps/server/src/textGeneration/OpenCodeTextGeneration.test.ts; packages/client-runtime/src/providerSkills.test.ts; packages/client-runtime/src/providerSkills.ts
082358f9ef6feaadfaafd59a7512da26beb00100	fix(desktop): check artifact build prerequisites (#8975)	identical-final-files	4	4	0		CONTRIBUTING.md; docs/internals/scripts.md; scripts/build-desktop-artifact.test.ts; scripts/build-desktop-artifact.ts
43bafd4674841fb8782f5174033b684aa0d83f67	fix(web): open PR toast actions in app (#9006)	review-v2-path	1	0	1	apps/web/src/components/GitActionsControl.tsx	
8339508f5c244a63a845004393d7d9e701152d6e	fix(chat): align failed task progress test (#9172)	review-v2-path	1	0	1	apps/web/src/components/chat/MessagesTimeline.logic.test.ts	
c15735dd8894f829ce396c922ce4b5a48073f05a	fix(chat): replace failed tools with thinking (#9165)	review-v2-path	2	0	2	apps/web/src/components/chat/MessagesTimeline.logic.test.ts; apps/web/src/components/chat/MessagesTimeline.logic.ts	
133db22fae34cfb2e62a806e99d22674b0376f35	feat(web): copy the full error report from the error page (#9166)	review-v2-path	1	0	1	apps/web/src/routes/__root.tsx	
b520120cf169ce63a5606447a292451e97622c9a	fix(chat): improve tool group summaries and scrolling (#9106)	review-v2-path	27	12	15	apps/mobile/src/features/threads/ThreadFeed.tsx; apps/mobile/src/lib/threadActivity.test.ts; apps/mobile/src/lib/threadActivity.ts; apps/web/src/components/ChatView.logic.test.ts; apps/web/src/components/ChatView.logic.ts; apps/web/src/components/ChatView.tsx; apps/web/src/components/chat/MessagesTimeline.logic.test.ts; apps/web/src/components/chat/MessagesTimeline.logic.ts; apps/web/src/components/chat/MessagesTimeline.test.tsx; apps/web/src/components/chat/MessagesTimeline.tsx; apps/web/src/session-logic.test.ts; apps/web/src/session-logic.ts; packages/client-runtime/package.json; packages/client-runtime/src/work-log/presentation.test.ts; packages/client-runtime/src/work-log/presentation.ts	apps/mobile/src/features/threads/thread-feed-live-follow.test.ts; apps/mobile/src/features/threads/thread-feed-live-follow.ts; apps/mobile/src/features/threads/thread-work-log.tsx; apps/mobile/src/lib/layout.test.ts; apps/mobile/src/lib/layout.ts; apps/web/src/components/T3Wordmark.tsx; apps/web/src/components/sidebar/SidebarChrome.tsx; docs/user/tool-activity.md; packages/client-runtime/src/work-log/commandLabel.test.ts; packages/client-runtime/src/work-log/commandLabel.ts; packages/client-runtime/src/work-log/scrollAnchor.test.ts; packages/client-runtime/src/work-log/scrollAnchor.ts
db4bf9497b524f35e665af9e941aa8faeb05ea9e	chore: remove unused code and brittle tests (#9150)	review-v2-path	41	24	17	apps/server/integration/OrchestrationEngineHarness.integration.ts; apps/server/package.json; apps/server/src/orchestration/Layers/ProviderCommandReactor.test.ts; apps/server/src/provider/Layers/ProviderAdapterRegistry.test.ts; apps/server/src/provider/Layers/ProviderAdapterRegistry.ts; apps/server/src/provider/Layers/ProviderService.test.ts; apps/server/src/provider/Services/ProviderAdapterRegistry.ts; apps/server/src/provider/testUtils/providerAdapterRegistryMock.ts; apps/web/src/components/chat/ChangedFilesTree.test.tsx; apps/web/src/components/chat/ComposerPrimaryActions.test.tsx; apps/web/src/components/chat/MessagesTimeline.test.tsx; apps/web/src/composerDraftStore.ts; apps/web/src/keybindings.ts; apps/web/src/lib/contextWindow.ts; apps/web/src/providerInstances.ts; pnpm-lock.yaml; vite.config.ts	.github/workflows/release.yml; apps/desktop/src/wsl/DesktopWslEnvironment.test.ts; apps/marketing/public/apple-touch-icon.webp; apps/marketing/public/favicon-16x16.webp; apps/marketing/public/favicon-32x32.webp; apps/marketing/public/icon.png; apps/marketing/public/screenshot.webp; apps/marketing/tweets.md; apps/mobile/package.json; apps/mobile/src/features/terminal/ThreadTerminalRouteScreen.test.ts; apps/mobile/src/features/terminal/terminalRouteBootstrap.ts; apps/server/src/textGeneration/TextGeneration.ts; apps/web/src/cloud/linkEnvironment.ts; apps/web/src/components/DiffPanelShell.tsx; apps/web/src/components/ProviderUpdateLaunchNotification.logic.ts; apps/web/src/components/chat/ComposerCommandMenu.test.tsx; apps/web/src/components/chat/providerIconUtils.ts; apps/web/src/components/desktopUpdate.logic.ts; apps/web/src/composer-logic.ts; apps/web/src/lib/utils.ts; apps/web/src/portDiscoveryState.ts; apps/web/src/providerModels.ts; apps/web/src/routes/-chatIndexTitlebar.test.ts; apps/web/src/themePalette.ts
b8262b41228e03b2e1e14b701be449034349c8ba	fix(desktop): hold-to-quit no longer gets stuck (#9141)	identical-final-files	4	4	0		apps/desktop/src/window/DesktopWindow.test.ts; apps/desktop/src/window/DesktopWindow.ts; apps/desktop/src/window/QuitHold.test.ts; apps/desktop/src/window/QuitHold.ts
cde12790d721ab2a90471750fd75d9f5bf13f57d	fix(contracts): accept legacy pull request checkout results (#8238)	identical-final-files	2	2	0		packages/contracts/src/git.test.ts; packages/contracts/src/git.ts
a1a2bb1cd9f000f53fbeae752ed5c38f152eadf2	fix(web): label keybinding condition removal actions (#8664)	review-v2-path	3	2	1	apps/web/src/components/settings/KeybindingsSettings.logic.test.ts	apps/web/src/components/settings/KeybindingsSettings.logic.ts; apps/web/src/components/settings/KeybindingsSettings.tsx
e9db39ce05c706122bb747fd5e7e70e1aac78935	fix(web): align composer notices and stash (#8890)	review-v2-path	8	5	3	apps/web/src/components/ChatView.tsx; apps/web/src/versionSkew.test.ts; apps/web/src/versionSkew.ts	apps/web/src/components/ServerUpdateAction.tsx; apps/web/src/components/chat/ComposerBanner.tsx; apps/web/src/components/chat/ComposerBannerStack.tsx; apps/web/src/components/chat/ComposerStashBadge.tsx; apps/web/src/components/chat/ComposerTasksBadge.tsx
941acb4f919bcef337d4d9e1623101bdc30d3616	fix(provider): drop removed custom models from the model picker (#9075)	review-v2-path	6	4	2	apps/server/src/provider/Layers/ProviderRegistry.test.ts; apps/server/src/provider/Layers/ProviderRegistry.ts	apps/server/src/provider/providerStatusCache.test.ts; apps/server/src/provider/providerStatusCache.ts; apps/web/src/modelSelection.test.ts; apps/web/src/modelSelection.ts
